safety_margin,perturbations,probe_steps,estimator_method,L_pred,L_actual,bound_holds,max_bound_ratio,final_bound_ratio,predicted_dangerous,actual_dangerous,false_negative,false_positive,runtime_seconds
1.03,3,5,max_clean_rewritten_L,0.963127810646656,0.9938105561960218,False,41.07895343093289,23.012731138989576,False,True,True,False,0.01643540000077337
1.03,3,5,longer_horizon_L,0.9729389411974979,0.9938105561960218,False,18.737820644906357,8.352219528600287,False,True,True,False,0.018147099999623606
1.08,3,5,clean_state_L,1.0098815878625131,0.9938105561960218,False,1.377282230101843,0.20105509602902616,True,True,False,False,0.008796600000096078
1.08,3,5,rewritten_state_L,0.9281112791406213,0.9938105561960218,False,934.0184360967469,934.0184360967469,False,True,True,False,0.007638800000677293
1.08,3,5,max_clean_rewritten_L,1.0098815878625131,0.9938105561960218,False,1.377282230101843,0.20105509602902616,True,True,False,False,0.01643540000077337
1.08,3,5,longer_horizon_L,1.0201689868866968,0.9938105561960218,True,0.9999999068677404,0.07297075211264961,True,True,False,False,0.018147099999623606
1.15,3,5,clean_state_L,1.0753368759647128,0.9938105561960218,True,0.9999999068677404,0.0003766227921266622,True,True,False,False,0.008796600000096078
1.15,3,5,rewritten_state_L,0.9882666398256614,0.9938105561960218,False,6.2513042748742365,1.7496330023375657,False,True,True,False,0.007638800000677293
1.15,3,5,max_clean_rewritten_L,1.0753368759647128,0.9938105561960218,True,0.9999999068677404,0.0003766227921266622,True,True,False,False,0.01643540000077337
1.15,3,5,longer_horizon_L,1.086291050851575,0.9938105561960218,True,0.9999999068677404,0.00013669113067534935,True,True,False,False,0.018147099999623606
1.25,3,5,clean_state_L,1.1688444303964272,0.9938105561960218,True,0.9999999068677404,9.009264414317036e-08,True,True,False,False,0.008796600000096078
1.25,3,5,rewritten_state_L,1.074202869375719,0.9938105561960218,True,0.9999999068677404,0.0004185329904509164,True,True,False,False,0.007638800000677293
1.25,3,5,max_clean_rewritten_L,1.1688444303964272,0.9938105561960218,True,0.9999999068677404,9.009264414317036e-08,True,True,False,False,0.01643540000077337
1.25,3,5,longer_horizon_L,1.180751142229973,0.9938105561960218,True,0.9999999068677404,3.269814161783476e-08,True,True,False,False,0.018147099999623606
1.5,3,5,clean_state_L,1.4026133164757124,0.9938105561960218,True,0.9999999068677404,1.0878392602951563e-15,True,True,False,False,0.008796600000096078
1.5,3,5,rewritten_state_L,1.2890434432508628,0.9938105561960218,True,0.9999999068677404,5.053649197127654e-12,True,True,False,False,0.007638800000677293
1.5,3,5,max_clean_rewritten_L,1.4026133164757124,0.9938105561960218,True,0.9999999068677404,1.0878392602951563e-15,True,True,False,False,0.01643540000077337
1.5,3,5,longer_horizon_L,1.4169013706759677,0.9938105561960218,True,0.9999999068677404,3.9481938319009235e-16,True,True,False,False,0.018147099999623606
1.0,3,10,clean_state_L,0.9095343661405406,0.9938105561960218,False,7054.223001593406,7054.223001593406,False,True,True,False,0.011791799999627983
1.0,3,10,rewritten_state_L,0.8815898834814756,0.9938105561960218,False,159845.6127428989,159845.6127428989,False,True,True,False,0.01214330000038899
1.0,3,10,max_clean_rewritten_L,0.9095343661405406,0.9938105561960218,False,7054.223001593406,7054.223001593406,False,True,True,False,0.023935100000016973
1.0,3,10,longer_horizon_L,0.9623389050794741,0.9938105561960218,False,43.86213370754275,24.977912704620937,False,True,True,False,0.021457699999700708
1.03,3,10,clean_state_L,0.9368203971247568,0.9938105561960218,False,376.55308586852885,367.05125570957097,False,True,True,False,0.011791799999627983
1.03,3,10,rewritten_state_L,0.9080375799859199,0.9938105561960218,False,8317.221168609749,8317.221168609749,False,True,True,False,0.01214330000038899
1.03,3,10,max_clean_rewritten_L,0.9368203971247568,0.9938105561960218,False,376.55308586852885,367.05125570957097,False,True,True,False,0.023935100000016973
1.03,3,10,longer_horizon_L,0.9912090722318583,0.9938105561960218,False,5.076814976012775,1.2996717315520452,False,True,True,False,0.021457699999700708
1.08,3,10,clean_state_L,0.9822971154317839,0.9938105561960218,False,9.553429652960288,3.206813003573947,False,True,True,False,0.011791799999627983
1.08,3,10,rewritten_state_L,0.9521170741599937,0.9938105561960218,False,103.06352147016219,72.66498229392343,False,True,True,False,0.01214330000038899
1.08,3,10,max_clean_rewritten_L,0.9822971154317839,0.9938105561960218,False,9.553429652960288,3.206813003573947,False,True,True,False,0.023935100000016973
1.08,3,10,longer_horizon_L,1.039326017485832,0.9938105561960218,True,0.9999999068677404,0.011354828908190147,True,True,False,False,0.021457699999700708
1.15,3,10,clean_state_L,1.0459645210616215,0.9938105561960218,True,0.9999999068677404,0.006007103978402722,True,True,False,False,0.011791799999627983
1.15,3,10,rewritten_state_L,1.0138283660036969,0.9938105561960218,False,1.0522963116897237,0.13611835293854313,True,True,False,False,0.01214330000038899
1.15,3,10,max_clean_rewritten_L,1.0459645210616215,0.9938105561960218,True,0.9999999068677404,0.006007103978402722,True,True,False,False,0.023935100000016973
1.15,3,10,longer_horizon_L,1.1066897408413952,0.9938105561960218,True,0.9999999068677404,2.127022618171127e-05,True,True,False,False,0.021457699999700708
1.25,3,10,clean_state_L,1.1369179576756758,0.9938105561960218,True,0.9999999068677404,1.4369706039331952e-06,True,True,False,False,0.011791799999627983
