model,dataset,seed,scenario,bound_type,delta,final_bound,max_bound,actual_final_divergence,actual_max_divergence,looseness_final,looseness_max,bound_holds,certifies_safe,abstains,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,A_fixed_clean,0.0682404562830925,0.14626761740150274,0.14626761740150274,0.06079908460378647,0.2899182140827179,2.405753612158717,0.5045133775547143,False,False,False,0.137261199999557
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,B_fixed_rewritten,0.0682404562830925,0.22369904288734177,0.22369904288734177,0.06079908460378647,0.2899182140827179,3.679315969066583,0.77159361509973,False,False,False,0.137261199999557
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,C_fixed_max,0.0682404562830925,0.22369904288734177,0.22369904288734177,0.06079908460378647,0.2899182140827179,3.679315969066583,0.77159361509973,False,False,False,0.137261199999557
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,D_stepwise_product,0.0682404562830925,0.14608241892282742,0.14608241892282742,0.06079908460378647,0.2899182140827179,2.4027075386876735,0.5038745819576137,False,False,False,0.5512651416662873
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,optimizer_state_from_older_checkpoint,E_empirical_envelope,0.0682404562830925,0.06748654652982859,0.3218071319994781,0.06079908460378647,0.2899182140827179,1.1099928061355324,1.1099928061355324,True,False,False,0.137261199999557
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,A_fixed_clean,0.10239264369010925,0.2194699280711577,0.2194699280711577,0.07577040046453476,0.38311612606048584,2.8965127111065385,0.5728548425458554,False,False,False,0.13638240000000224
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,B_fixed_rewritten,0.10239264369010925,0.19391685562597288,0.19391685562597288,0.07577040046453476,0.38311612606048584,2.559269245471891,0.5061568606364473,False,False,False,0.13638240000000224
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,C_fixed_max,0.10239264369010925,0.2194699280711577,0.2194699280711577,0.07577040046453476,0.38311612606048584,2.8965127111065385,0.5728548425458554,False,False,False,0.13638240000000224
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,D_stepwise_product,0.10239264369010925,0.21919204361856431,0.21919204361856431,0.07577040046453476,0.38311612606048584,2.8928452571813947,0.5721295155922478,False,False,False,0.5503863416667325
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,params_current_optimizer_older,E_empirical_envelope,0.10239264369010925,0.08393198062016465,0.4243833353214506,0.07577040046453476,0.38311612606048584,1.1077146234623638,1.1077146234623638,True,False,False,0.13638240000000224
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,A_fixed_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.14278620000004594
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,B_fixed_rewritten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.14278620000004594
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,exact_restore,C_fixed_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0.14278620000004594
