model,dataset,seed,scenario,delta,L_clean,L_rewritten,L_max,L_stepwise,fixed_bound_final,stepwise_bound_final,actual_max_divergence,actual_loss_gap,epsilon,safety_margin,decision,decision_reason,runtime_seconds
mnist_mlp,real MNIST train split,0,exact_restore,0.0,1.5404801238352253,1.5402771937003485,1.5404801238352253,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.6479234000007636
mnist_mlp,real MNIST train split,0,noop_restore,0.0,1.5404801238352253,1.540208765583956,1.5404801238352253,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.7117820000003121
mnist_mlp,real MNIST train split,0,stale_adam_moments,0.10181882232427597,1.5404801238352253,1.588477908008902,1.588477908008902,1.0611874092929636,108959.08442213846,0.6047706774701238,0.5536357164382935,0.037890613079071045,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.8860260999999809
mnist_mlp,real MNIST train split,0,reset_first_moment,0.07724190503358841,1.5404801238352253,1.5379923098547765,1.5404801238352253,1.065810597948705,32925.770858423726,0.52270181375968,0.4868798851966858,0.08555787801742554,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.629422799999702
mnist_mlp,real MNIST train split,0,reset_second_moment,1.4085023403167725,1.5404801238352253,6.894100479164655,6.894100479164655,1.0748021780379575,2.009489944371747e+25,12.26347946323242,2428.059326171875,53.61759269237518,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.6944284999999581
mnist_mlp,real MNIST train split,0,scheduler_mismatch,0.038620948791503906,1.5404801238352253,1.6443227015859914,1.6443227015859914,1.094326624861453,116529.13438684195,0.5770745340638862,0.7869607210159302,0.07153269648551941,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.6189426000000822
mnist_mlp,real MNIST train split,0,ema_shadow_present_not_loaded,0.0,1.5404801238352253,1.5402763901809136,1.5404801238352253,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.6315595999994912
mnist_mlp,real MNIST train split,0,ema_loaded_as_parameters,3.0628538131713867,1.5404801238352253,1.5464467741873786,1.5464467741873786,0.9815408917992469,1466140.4592515517,1.751371145248413,3.0628538131713867,1.3379699885845184,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5925800999993953
mnist_mlp,real MNIST train split,0,mild_lr_decrease,0.038620952516794205,1.5404801238352253,1.375411422988674,1.5404801238352253,1.099353805385901,16462.885429211863,0.6621364593793662,0.8143637180328369,0.13801932334899902,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5821955999999773
mnist_mlp,real MNIST train split,0,severe_lr_increase,0.6951775550842285,1.5404801238352253,2.3803858968635807,2.3803858968635807,1.0869113553011072,138521376174.04684,8.470704299729116,10.215949058532715,0.24460339546203613,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5878756000001886
mnist_mlp,real MNIST train split,0,optimizer_state_from_older_checkpoint,0.10473567992448807,1.5404801238352253,1.6118411775960433,1.6118411775960433,1.0666123905920009,173684.89502075128,0.7249255232169125,0.6619843244552612,0.04071474075317383,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5797055000002729
mnist_mlp,real MNIST train split,0,params_current_optimizer_older,0.13859011232852936,1.5404801238352253,1.6905552910595063,1.6905552910595063,1.0679074442397474,960757.15176188,0.9948111967678298,0.9145557880401611,0.07247906923294067,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5655830999994578
mnist_mlp,real MNIST train split,1,exact_restore,0.0,1.5446873153767384,1.5446063174131197,1.5446873153767384,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.5958247999997184
mnist_mlp,real MNIST train split,1,noop_restore,0.0,1.5446873153767384,1.545287553136998,1.545287553136998,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.556467800000064
mnist_mlp,real MNIST train split,1,stale_adam_moments,0.0845017209649086,1.5446873153767384,1.603384865540398,1.603384865540398,1.0643843262198576,119673.7644151287,0.549312742166761,0.4991459548473358,0.041918396949768066,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.7459426000004896
mnist_mlp,real MNIST train split,1,reset_first_moment,0.09065454453229904,1.5446873153767384,1.5446565567100368,1.5446873153767384,1.0628731983607722,41937.92969016668,0.5647201159914303,0.5413466691970825,0.11557364463806152,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.9272767000002204
mnist_mlp,real MNIST train split,1,reset_second_moment,1.3962013721466064,1.5446873153767384,6.774331202795552,6.774331202795552,1.0745610788298576,1.1774455592194332e+25,12.074836107008151,2290.9521484375,1063.8198994994164,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.8346043999999893
mnist_mlp,real MNIST train split,1,scheduler_mismatch,0.04532726854085922,1.5446873153767384,1.6561399471375549,1.6561399471375549,1.0922890010201611,169539.35690023712,0.6404516711726679,0.8397902846336365,0.08852529525756836,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5944426999994903
mnist_mlp,real MNIST train split,1,ema_shadow_present_not_loaded,0.0,1.5446873153767384,1.5443288300849622,1.5446873153767384,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.5954423000002862
mnist_mlp,real MNIST train split,1,ema_loaded_as_parameters,2.9627602100372314,1.5446873153767384,1.5779220303744457,1.5779220303744457,0.9913209640868076,2595748.98990454,2.2809996604919434,2.9627602100372314,1.3019917607307434,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5782179999996515
mnist_mlp,real MNIST train split,1,mild_lr_decrease,0.04532727226614952,1.5446873153767384,1.3744329985225339,1.5446873153767384,1.0982213600132698,20968.96484508334,0.7534530138768365,0.9257606267929077,0.14115571975708008,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5747972999997728
mnist_mlp,real MNIST train split,1,severe_lr_increase,0.8158888220787048,1.5446873153767384,2.389217197340677,2.389217197340677,1.0832463955741174,181676998396.50522,8.983561845119903,10.763010025024414,0.3954833745956421,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.6315834999995786
mnist_mlp,real MNIST train split,1,optimizer_state_from_older_checkpoint,0.09775813668966293,1.5446873153767384,1.609336684765337,1.609336684765337,1.0656149105115629,154724.91358097002,0.6579025593673082,0.612322986125946,0.05076521635055542,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.8013825999996698
mnist_mlp,real MNIST train split,1,params_current_optimizer_older,0.1242852658033371,1.5446873153767384,1.6895760947946719,1.6895760947946719,1.068386240559025,846744.3980201117,0.9042077652318666,0.8476897478103638,0.056158244609832764,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.7429849999998623
mnist_mlp,real MNIST train split,2,exact_restore,0.0,1.5509347522990409,1.5498598305410947,1.5509347522990409,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.5762912000000142
mnist_mlp,real MNIST train split,2,noop_restore,0.0,1.5509347522990409,1.5501392998546513,1.5509347522990409,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.6111753000004683
mnist_mlp,real MNIST train split,2,stale_adam_moments,0.08497738093137741,1.5509347522990409,1.6165402046378787,1.6165402046378787,1.0670774229449407,153779.57332392593,0.5959108319599035,0.5405929088592529,0.05223125219345093,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.6328934000002846
mnist_mlp,real MNIST train split,2,reset_first_moment,0.07926864176988602,1.5509347522990409,1.5510235474390517,1.5510235474390517,1.0655271146690124,41462.27758127551,0.5321530918241019,0.4889467656612396,0.08243507146835327,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.6140555000001768
mnist_mlp,real MNIST train split,2,reset_second_moment,1.4100302457809448,1.5509347522990409,6.347862263611965,6.347862263611965,1.0501559447530697,1.690648305277245e+24,6.121280543005945,432.425537109375,425.3090878725052,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.8712841999995362
mnist_mlp,real MNIST train split,2,scheduler_mismatch,0.03963430970907211,1.5509347522990409,1.6596251137454499,1.6596251137454499,1.0951418132529378,157896.0405237505,0.6055947851421163,0.8261555433273315,0.08594247698783875,0.05,1.08,flagged_dangerous,"expansive regime, bound reaches danger threshold",0.5839912999999797
mnist_mlp,real MNIST train split,2,ema_shadow_present_not_loaded,0.0,1.5509347522990409,1.549939533418081,1.5509347522990409,1.0,0.0,0.0,0.0,0.0,0.05,1.08,certified_safe,zero displacement (no-op): bound is identically zero,0.5744796999997561
