model,dataset,seed,scenario,direction_type,probe_trials,probe_steps,L_estimate,actual_growth,missed_worst_case,bound_holds,runtime_seconds
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,top_hessian,5,15,1.3167390938910297,3.361836218917563,True,True,0.029760400000668596
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,top_hessian,10,15,1.3164410243165428,3.366045797061168,True,True,0.06050370000048133
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,top_hessian,20,15,1.3169215207789313,3.41712194146973,True,True,0.11783380000088073
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,top_hessian,50,15,1.3166371922875388,3.4792791999647843,True,True,0.29702759999963746
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,adam_denom_sensitive,1,15,1.336210533955271,3.5244282643311813,True,True,0.006005600000207778
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,adam_denom_sensitive,3,15,1.3336426394680903,3.5244282643311813,True,True,0.01905839999926684
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,adam_denom_sensitive,5,15,1.3333630664313798,3.5244282643311813,True,True,0.0296939999989263
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,adam_denom_sensitive,10,15,1.333112918600117,3.5244282643311813,True,True,0.06090870000116411
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,adam_denom_sensitive,20,15,1.3325788492433819,3.537988903436762,True,True,0.12145190000046568
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,adam_denom_sensitive,50,15,1.332620666407244,3.591347576505787,True,True,0.300159899999926
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,schedule_time,1,15,1.065723598053753,2.6399389636222055,True,False,0.005931800000325893
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,schedule_time,3,15,1.0907541461392842,3.5360883971948223,True,False,0.017740999999659834
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,schedule_time,5,15,1.1007993192714767,3.5360883971948223,True,False,0.02987329999996291
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,schedule_time,10,15,1.0972562041136957,3.5360883971948223,True,False,0.05953579999913927
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,schedule_time,20,15,1.1070883243312923,3.5360883971948223,True,False,0.11778290000074776
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,severe_lr_increase,schedule_time,50,15,1.0984305875077873,3.5360883971948223,True,False,0.29797270000017306
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,random,1,15,0.9377935345855172,1.123312392254903,True,False,0.005788500000562635
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,random,3,15,0.9434200382752856,1.123312392254903,True,False,0.017586799998753122
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,random,5,15,0.9371902043436227,1.131347971583016,True,False,0.0292803999982425
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,random,10,15,0.9442621486938605,1.1752330994054456,True,False,0.05810919999930775
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,random,20,15,0.9453456206647942,1.214889950075759,True,False,0.11751230000118085
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,random,50,15,0.9446796310522847,1.2949841498259453,True,False,0.2915576000013971
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,gradient_aligned,1,15,0.9612117369037398,1.055391866697673,True,False,0.0059350999999878695
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,gradient_aligned,3,15,0.9612508676058646,1.055391866697673,True,False,0.017662800000834977
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,gradient_aligned,5,15,0.9609717741679009,1.055391866697673,True,False,0.02953210000123363
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,gradient_aligned,10,15,0.9608058568371274,1.055391866697673,True,False,0.05897469999945315
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,gradient_aligned,20,15,0.960903950846374,1.0603577545571818,True,False,0.1177838999992673
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,gradient_aligned,50,15,0.9609482731346349,1.0686153379725711,True,False,0.29914300000018557
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,trajectory_aligned,1,15,0.9293086519893213,0.9731177988313223,True,False,0.0064020000008895295
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,trajectory_aligned,3,15,0.9297556107241495,0.9922844317413351,True,False,0.01885709999987739
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,trajectory_aligned,5,15,0.9289162782926081,0.9922844317413351,True,False,0.033155099999930826
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,trajectory_aligned,10,15,0.9293387739740844,0.9922844317413351,True,False,0.0617882999995345
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,trajectory_aligned,20,15,0.9292046088201467,0.9922844317413351,True,False,0.12616559999878518
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,trajectory_aligned,50,15,0.9291802716378981,0.9922844317413351,True,False,0.305100700001276
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,top_hessian,1,15,0.9450911756697017,1.329324007041731,True,False,0.006144199998743716
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,top_hessian,3,15,0.9460209757575121,1.329324007041731,True,False,0.017893600001116283
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,top_hessian,5,15,0.9461129225052426,1.329324007041731,True,False,0.029688299999179435
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,top_hessian,10,15,0.9457796985096052,1.3596642665656098,True,False,0.05999530000008235
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,top_hessian,20,15,0.9457833805367952,1.38040971453644,True,False,0.12065210000037041
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,top_hessian,50,15,0.9458930902487939,1.38040971453644,True,False,0.29578400000173133
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,adam_denom_sensitive,1,15,0.9329020738431659,2.1262748070323716,True,False,0.005952899999101646
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,adam_denom_sensitive,3,15,0.9338964703417558,2.2093724923768256,True,False,0.01788519999900018
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,adam_denom_sensitive,5,15,0.9336965862455414,2.2144873576209996,True,False,0.029978299999129376
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,adam_denom_sensitive,10,15,0.9337429318583839,2.2144873576209996,True,False,0.059467200000653975
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,adam_denom_sensitive,20,15,0.9336749344549028,2.267221990785768,False,False,0.11892099999931816
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,adam_denom_sensitive,50,15,0.9335450989980693,2.3387266526506214,False,False,0.3007830999995349
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,schedule_time,1,15,0.9286911767356246,1.0001768193184708,True,False,0.006064299999707146
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,schedule_time,3,15,0.9281383180022141,1.0001768193184708,True,False,0.018361899999945308
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,schedule_time,5,15,0.9289303332608772,1.0001768193184708,True,False,0.030810299998847768
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,schedule_time,10,15,0.928566767934834,1.0001768193184708,True,False,0.059488599999895087
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,schedule_time,20,15,0.9286985470558679,1.0057105970956883,True,False,0.11887539999952423
quadratic,"synthetic_quadratic(n=20,kappa=30)",0,stale_adam_moments,schedule_time,50,15,0.9287109538043509,1.0057105970956883,True,False,0.29605029999947874
quadratic,"synthetic_quadratic(n=20,kappa=30)",1,reset_second_moment,random,1,15,1.57828798451318,640.0968575431596,True,False,0.005908500001169159
