model,dataset,seed,scenario,metric_type,delta,L_estimate,bound_final,actual_final_divergence,actual_max_divergence,bound_holds,decision,notes
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,mild_lr_decrease,raw_plus_sched_time,0.010288073681294918,1.0297602778595831,0.03324906803835086,0.17858576774597168,0.17858576774597168,False,abstained,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,mild_lr_decrease,block_normalized,0.0,1.0297602778595831,0.0,0.17858576774597168,0.17858576774597168,False,certified_safe,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,mild_lr_decrease,denom_aware_v,0.0,1.0297602778595831,0.0,0.17858576774597168,0.17858576774597168,False,certified_safe,
quadratic,"synthetic_quadratic(n=20,kappa=30)",2,mild_lr_decrease,full_repaired,0.010288073681294918,1.0297602778595831,0.03324906803835086,0.17858576774597168,0.17858576774597168,False,abstained,metric used by repaired analyzer
mnist_mlp,real MNIST train split,0,scheduler_mismatch,raw_theta_M,0.0,1.645401638018924,0.0,0.5297757983207703,0.5297757983207703,False,certified_safe,OLD METRIC BLIND: delta=0 -> bound identically 0 (vacuous/misleading)
mnist_mlp,real MNIST train split,0,scheduler_mismatch,raw_plus_sched_time,0.038620948791503906,1.645401638018924,118844.9406963521,0.5297757983207703,0.5297757983207703,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,scheduler_mismatch,block_normalized,0.0,1.645401638018924,0.0,0.5297757983207703,0.5297757983207703,False,certified_safe,
mnist_mlp,real MNIST train split,0,scheduler_mismatch,denom_aware_v,0.0,1.645401638018924,0.0,0.5297757983207703,0.5297757983207703,False,certified_safe,
mnist_mlp,real MNIST train split,0,scheduler_mismatch,full_repaired,0.038620948791503906,1.645401638018924,118844.9406963521,0.5297757983207703,0.5297757983207703,True,flagged_dangerous,metric used by repaired analyzer
mnist_mlp,real MNIST train split,0,reset_second_moment,raw_theta_M,0.0025042498018592596,7.075009084746269,7.77119315881418e+22,2341.58837890625,2341.58837890625,False,flagged_dangerous,
mnist_mlp,real MNIST train split,0,reset_second_moment,raw_plus_sched_time,0.0025042498018592596,7.075009084746269,7.77119315881418e+22,2341.58837890625,2341.58837890625,False,flagged_dangerous,
mnist_mlp,real MNIST train split,0,reset_second_moment,block_normalized,7.196012494075721,7.075009084746269,2.2330680838302984e+26,2341.58837890625,2341.58837890625,False,flagged_dangerous,
mnist_mlp,real MNIST train split,0,reset_second_moment,denom_aware_v,1.4085023403167725,7.075009084746269,4.370867372383094e+25,2341.58837890625,2341.58837890625,False,flagged_dangerous,
mnist_mlp,real MNIST train split,0,reset_second_moment,full_repaired,1.4085023403167725,7.075009084746269,4.370867372383094e+25,2341.58837890625,2341.58837890625,False,flagged_dangerous,metric used by repaired analyzer
mnist_mlp,real MNIST train split,0,ema_loaded_as_parameters,raw_theta_M,3.0628538131713867,1.5464413410589086,1465985.9374700112,1.751371145248413,3.0628538131713867,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,ema_loaded_as_parameters,raw_plus_sched_time,3.0628538131713867,1.5464413410589086,1465985.9374700112,1.751371145248413,3.0628538131713867,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,ema_loaded_as_parameters,block_normalized,3.0628538131713867,1.5464413410589086,1465985.9374700112,1.751371145248413,3.0628538131713867,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,ema_loaded_as_parameters,denom_aware_v,3.0628538131713867,1.5464413410589086,1465985.9374700112,1.751371145248413,3.0628538131713867,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,ema_loaded_as_parameters,full_repaired,3.0628538131713867,1.5464413410589086,1465985.9374700112,1.751371145248413,3.0628538131713867,True,flagged_dangerous,metric used by repaired analyzer
mnist_mlp,real MNIST train split,0,stale_adam_moments,raw_theta_M,0.5523527264595032,1.5881393877865182,587320.2966367449,0.5462979674339294,0.5536357164382935,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,stale_adam_moments,raw_plus_sched_time,0.5523527264595032,1.5881393877865182,587320.2966367449,0.5462979674339294,0.5536357164382935,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,stale_adam_moments,block_normalized,7.7553917738856555,1.5881393877865182,8246359.217540037,0.5462979674339294,0.5536357164382935,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,stale_adam_moments,denom_aware_v,0.5536790929918083,1.5881393877865182,588730.6309175147,0.5462979674339294,0.5536357164382935,True,flagged_dangerous,
mnist_mlp,real MNIST train split,0,stale_adam_moments,full_repaired,0.10181882232427597,1.5881393877865182,108264.6252404842,0.5462979674339294,0.5536357164382935,True,flagged_dangerous,metric used by repaired analyzer
