campaign,row_id,seed,checkpoint_age,rewrite_family,continuation_step,clean_update_norm,candidate_update_norm,delta_update_norm,S1,candidate_clean_update_norm_ratio,update_cosine,lr,candidate_lr
primary,gpu_seed1102_ckpt150_reset_v,1102,150,reset_v,1,0.10610155761241913,4892.3330078125,4892.3232421875,46109.815465788655,46109.90750614339,0.09226305782794952,0.0005,0.0005
primary,gpu_seed1102_ckpt150_stale_v,1102,150,stale_v,1,0.10610155761241913,898.179443359375,898.171875,8465.209137385973,8465.280468660889,0.07132603973150253,0.0005,0.0005
primary,gpu_seed1102_ckpt150_optimizer_reset,1102,150,optimizer_reset,1,0.10610155761241913,1.7385023832321167,1.7159656286239624,16.172859920455462,16.3852673074447,0.24154631793498993,0.0005,0.0005
primary,gpu_seed1102_ckpt300_reset_m,1102,300,reset_m,1,0.02620740421116352,0.011398963630199432,0.023062730208039284,0.8800081847608275,0.43495202874418537,0.47679832577705383,0.000125,0.000125
primary,gpu_seed1102_ckpt300_reset_v,1102,300,reset_v,1,0.02620740421116352,963.66357421875,963.6611938476562,36770.570104779654,36770.660932969826,0.09142889827489853,0.000125,0.000125
primary,gpu_seed1102_ckpt300_stale_v,1102,300,stale_v,1,0.02620740421116352,21.506031036376953,21.505027770996094,820.5706905155859,820.6089722688163,0.03883976861834526,0.000125,0.000125
primary,gpu_seed1102_ckpt300_optimizer_reset,1102,300,optimizer_reset,1,0.02620740421116352,0.42662546038627625,0.41994166374206543,16.02377939998956,16.278814068440575,0.2837500274181366,0.000125,0.000125
primary,gpu_seed1103_ckpt75_reset_m,1103,75,reset_m,1,0.6612775921821594,0.236459419131279,0.6253277659416199,0.9456358015657935,0.3575796638604154,0.3266909718513489,0.001,0.001
primary,gpu_seed1103_ckpt75_reset_v,1103,75,reset_v,1,0.6612775921821594,260279.359375,260279.21875,393600.5420820434,393600.7547385763,0.1867668628692627,0.001,0.001
primary,gpu_seed1103_ckpt75_stale_v,1103,75,stale_v,1,0.6612775921821594,522.9633178710938,522.9584350585938,790.8304186326425,790.8378025400328,0.008008633740246296,0.001,0.001
primary,gpu_seed1103_ckpt75_optimizer_reset,1103,75,optimizer_reset,1,0.6612775921821594,3.6471848487854004,3.6033496856689453,5.449072716607183,5.515361312553307,0.15654607117176056,0.001,0.001
primary,gpu_seed1103_ckpt150_reset_m,1103,150,reset_m,1,0.11947642266750336,0.05908554792404175,0.10891977697610855,0.9116424357491432,0.4945373037153883,0.41804239153862,0.0005,0.0005
primary,gpu_seed1103_ckpt150_reset_v,1103,150,reset_v,1,0.11947642266750336,11685.41015625,11685.4033203125,97805.09877446332,97805.1559902499,0.06863454729318619,0.0005,0.0005
primary,gpu_seed1103_ckpt150_stale_v,1103,150,stale_v,1,0.11947642266750336,99.72650909423828,99.72390747070312,834.6743670706887,834.6961422751772,0.022485146299004555,0.0005,0.0005
primary,gpu_seed1103_ckpt150_optimizer_reset,1103,150,optimizer_reset,1,0.11947642266750336,1.7921509742736816,1.768139123916626,14.7990631492413,15.00003878795521,0.23296219110488892,0.0005,0.0005
primary,gpu_seed1103_ckpt300_reset_m,1103,300,reset_m,1,0.024280330166220665,0.01410689763724804,0.022558294236660004,0.9290769145764965,0.5810010630041954,0.4082423746585846,0.000125,0.000125
primary,gpu_seed1103_ckpt300_reset_v,1103,300,reset_v,1,0.024280330166220665,846.79296875,846.7911376953125,34875.60226172343,34875.677674811915,0.07782576233148575,0.000125,0.000125
primary,gpu_seed1103_ckpt300_stale_v,1103,300,stale_v,1,0.024280330166220665,0.024388223886489868,0.0009756990475580096,0.04018475205395844,1.004443667714818,0.9992060661315918,0.000125,0.000125
primary,gpu_seed1103_ckpt300_optimizer_reset,1103,300,optimizer_reset,1,0.024280330166220665,0.45641252398490906,0.4515755772590637,18.59841172459456,18.79762428441285,0.22475580871105194,0.000125,0.000125
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt75_reset_m,1201,75,reset_m,1,0.10838188230991364,0.06060260906815529,0.09499132633209229,0.8764502360236921,0.5591581155077692,0.4868861436843872,0.001,0.001
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt75_reset_v,1201,75,reset_v,1,0.10838188230991364,6086.0068359375,6085.99365234375,56153.23818500349,56153.35982520265,0.12629561126232147,0.001,0.001
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt75_stale_v,1201,75,stale_v,1,0.10838188230991364,64.53187561035156,64.5274887084961,595.3715448804161,595.4120212198368,0.04134919121861458,0.001,0.001
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt75_optimizer_reset,1201,75,optimizer_reset,1,0.10838188230991364,1.099143624305725,1.0738863945007324,9.908357112862175,10.14139633737516,0.27966421842575073,0.001,0.001
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt150_reset_m,1201,150,reset_m,1,0.061367690563201904,0.03244401887059212,0.05235518515110016,0.8531392442791537,0.5286824153281392,0.5217295289039612,0.0005,0.0005
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt150_reset_v,1201,150,reset_v,1,0.061367690563201904,3312.332763671875,3312.32568359375,53975.07471995296,53975.190091381475,0.11256017535924911,0.0005,0.0005
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt150_stale_v,1201,150,stale_v,1,0.061367690563201904,78.70198822021484,78.7004623413086,1282.4413240542826,1282.46618858629,0.025308147072792053,0.0005,0.0005
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt150_optimizer_reset,1201,150,optimizer_reset,1,0.061367690563201904,0.5514118671417236,0.5338435173034668,8.69909739792095,8.985377518237309,0.33736541867256165,0.0005,0.0005
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt300_reset_m,1201,300,reset_m,1,0.01849277876317501,0.008460109122097492,0.01633516512811184,0.8833266939718659,0.457481767882649,0.46889689564704895,0.000125,0.000125
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt300_reset_v,1201,300,reset_v,1,0.01849277876317501,483.6376037597656,483.6356506347656,26152.67596082883,26152.781576378817,0.10527827590703964,0.000125,0.000125
controlled_width,controlled_width_width128_1p63m_seed1201_ckpt300_stale_v,1201,300,stale_v,1,0.01849277876317501,0.022210614755749702,0.011055991053581238,0.5978545028072996,1.2010425820254251,0.8680263757705688,0.000125,0.000125
