seed,checkpoint_age,source_checkpoint,source_checkpoint_sha256,protocol_sha256,batch_file_sha256,rewrite_family,row_id,continuation_step,loss,accuracy,examples
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_1500_reset_v,0,1.0738417385101318,0.6075,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_1500_full_per_parameter_reset,0,1.0738417385101318,0.6075,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_1500_clean,1,1.0774529678344726,0.6063,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_1500_reset_m,1,1.0517141578674316,0.6211,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_1500_reset_v,1,4048.276933203125,0.0999,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_1500_full_per_parameter_reset,1,1.300335735321045,0.5345,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,clean,4101_1500_clean,25,1.0348127769470215,0.6287,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_m,4101_1500_reset_m,25,1.0362583980560303,0.6288,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,reset_v,4101_1500_reset_v,25,6.161370190429688,0.1245,10000
4101,1500,checkpoints\seed_4101_age_1500.pt,9ddb64cbb9231e187b06be5652c8d2bdbf7e9743ec4708d3e45903b49660cf56,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c,99f4ece8391fbeba8ad332dbf13935a29322adb8691e000d94ed76b5267b5411,full_per_parameter_reset,4101_1500_full_per_parameter_reset,25,1.0283342803955078,0.6298,10000
