seed,step,train_loss,test_loss,test_accuracy,protocol_sha256
4101,93,1.804840087890625,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,94,1.805917739868164,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,95,1.8298132419586182,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,96,1.835332989692688,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,97,1.8623377084732056,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,98,1.7688138484954834,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,99,1.9297860860824585,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,100,1.9573426246643066,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,101,1.887349247932434,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,102,1.909680962562561,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,103,1.825171947479248,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,104,1.798668622970581,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,105,1.7059152126312256,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,106,1.9408504962921143,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,107,1.810192584991455,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,108,1.9600656032562256,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,109,1.8961772918701172,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
4101,110,1.785406231880188,,,5b0213c94acc2bf1a7ce1444f0a8c2598385ca2613f96b97d19de162d412094c
