row_id,rewrite_family,training_seed,checkpoint_step,parameter_label,T_tau,normalized_max_parameter_divergence,task_damaged,task_recovery_step,max_validation_loss_gap,final_validation_loss_gap,max_perplexity_gap,final_perplexity_gap
gpu_seed1101_ckpt150_stale_m,stale_m,1101,150,benign,,0.008858361406778783,False,9,0.4689815044403076,0.0603781541188555,12.526518169263323,1.2902091014615138
gpu_seed1101_ckpt150_stale_v,stale_v,1101,150,dangerous,1,1.4278965465528657,False,0,0.007399400075276841,0.0038408438364663233,0.1898935624355289,0.07977453829726855
gpu_seed1101_ckpt150_stale_mv,stale_mv,1101,150,benign,,0.009096307949553286,False,9,0.47840380668640137,0.05848383903503418,12.843288587555396,1.248535005224955
gpu_seed1101_ckpt150_model_current_optimizer_stale,model_current_optimizer_stale,1101,150,benign,,0.008611482795482548,False,10,0.424547990163167,0.05008927981058742,11.07227267204642,1.0648055108382088
gpu_seed1101_ckpt150_step_counter_mismatch,step_counter_mismatch,1101,150,benign,,0.0008527147263095098,False,0,0.041153907775878906,0.015791098276774385,0.9118549917451411,0.3247814447127446
gpu_seed1101_ckpt150_scheduler_mismatch,scheduler_mismatch,1101,150,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1101_ckpt150_optimizer_reset,optimizer_reset,1101,150,dangerous,16,0.1135126241998365,True,,20.649147113164265,4.591972986857096,24188953150.4294,2025.1108320276383
gpu_seed1101_ckpt300_exact_restore,exact_restore,1101,300,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1101_ckpt300_benign_nonzero,benign_nonzero,1101,300,benign,,3.1342267243105515e-06,False,0,3.9736429835457443e-07,3.9736429835457443e-07,5.237800763779887e-06,5.237800763779887e-06
gpu_seed1101_ckpt300_reset_m,reset_m,1101,300,benign,,0.0009046462521045557,False,0,0.02248549461364746,0.0004000663757324219,0.33413155786078086,0.005272362045040779
gpu_seed1101_ckpt300_reset_v,reset_v,1101,300,dangerous,1,15.153780090974129,True,,3675.193335453669,492.03602417310077,5.184705528587072e+21,5.184705528587072e+21
gpu_seed1101_ckpt300_stale_m,stale_m,1101,300,benign,,0.0013071121296642373,False,0,0.03063853581746434,0.012918949127197266,0.48988566073620987,0.17139398079912205
gpu_seed1101_ckpt300_stale_v,stale_v,1101,300,benign,,4.7454458189977675e-05,False,0,0.000621477762858369,0.00036509831746434074,0.008231606132680369,0.004813369009980306
gpu_seed1101_ckpt300_stale_mv,stale_mv,1101,300,benign,,0.0013059594593734908,False,0,0.030447403589884736,0.013187964757283677,0.4868758992095952,0.17498656208102403
gpu_seed1101_ckpt300_model_current_optimizer_stale,model_current_optimizer_stale,1101,300,benign,,0.0025295767469991595,False,2,0.06572413444519043,0.04431478182474757,0.898654656230164,0.5713751678960435
gpu_seed1101_ckpt300_step_counter_mismatch,step_counter_mismatch,1101,300,benign,,7.767943471961552e-05,False,0,0.004537502924601089,0.0019139448801674952,0.059392538017450036,0.02525254443395042
gpu_seed1101_ckpt300_scheduler_mismatch,scheduler_mismatch,1101,300,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1101_ckpt300_optimizer_reset,optimizer_reset,1101,300,dangerous,18,0.10805862102635082,True,,14.440285603205362,3.700469732284546,31239801.23514447,520.2194035704837
gpu_seed1102_ckpt75_exact_restore,exact_restore,1102,75,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1102_ckpt75_benign_nonzero,benign_nonzero,1102,75,benign,,9.520629487492295e-05,False,0,0.0003102620442705373,0.0002335707346601268,0.021321071351437126,0.014319061463488936
gpu_seed1102_ckpt75_reset_m,reset_m,1102,75,benign,,0.03115721561192968,True,,0.8602023124694824,0.07347861925760846,75.75744044165727,4.342585815000682
gpu_seed1102_ckpt75_reset_v,reset_v,1102,75,dangerous,1,1420.5031107516734,True,,25539791525.794067,16328165713.217588,5.184705528587072e+21,5.184705528587072e+21
gpu_seed1102_ckpt75_stale_m,stale_m,1102,75,benign,,0.04618835393227478,True,,2.8706917762756348,1.3707575003306074,1311.2437367065788,180.11355466158264
gpu_seed1102_ckpt75_stale_v,stale_v,1102,75,dangerous,1,112.63860382758736,True,,31.29610999425252,1.6211537520090742,5103542719683449.0,248.80338985128958
gpu_seed1102_ckpt75_stale_mv,stale_mv,1102,75,benign,,0.051610671547504226,True,,2.235324939092,1.8331539630889893,552.8126768363786,322.03322818976295
gpu_seed1102_ckpt75_model_current_optimizer_stale,model_current_optimizer_stale,1102,75,benign,,0.04366913118130113,True,,1.0919036865234375,0.39365283648173044,155.93435874680756,29.569225373136256
gpu_seed1102_ckpt75_step_counter_mismatch,step_counter_mismatch,1102,75,benign,,0.013577041727584125,True,,0.5208006699879961,0.16105238596598292,42.46889174440615,9.118213319603562
gpu_seed1102_ckpt75_scheduler_mismatch,scheduler_mismatch,1102,75,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1102_ckpt75_optimizer_reset,optimizer_reset,1102,75,dangerous,15,0.11730042191390844,True,,17.087776025136314,9.50157109896342,3445646328.678362,820149.1631002962
gpu_seed1102_ckpt150_exact_restore,exact_restore,1102,150,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1102_ckpt150_benign_nonzero,benign_nonzero,1102,150,benign,,2.5458896831215647e-05,False,0,0.00013240178426077165,0.00013240178426077165,0.0023387689914997623,0.0023387689914997623
gpu_seed1102_ckpt150_reset_m,reset_m,1102,150,benign,,0.0046595549063711125,False,10,0.1603846549987793,0.015887737274169922,3.1392473632672235,0.282866380877266
gpu_seed1102_ckpt150_reset_v,reset_v,1102,150,dangerous,1,158.1762957838026,True,,1446966.7512911956,256025.46186065674,5.184705528587072e+21,5.184705528587072e+21
gpu_seed1102_ckpt150_stale_m,stale_m,1102,150,benign,,0.00753469998821109,True,,0.2588688532511396,0.1274727185567217,5.8240689239020575,2.401354825611701
gpu_seed1102_ckpt150_stale_v,stale_v,1102,150,dangerous,1,46.49138347237003,True,,239.0240318775177,2.0388046900431314,5.184705528587072e+21,118.01403051633739
gpu_seed1102_ckpt150_stale_mv,stale_mv,1102,150,benign,,0.007692810081332336,True,,0.26163593928019235,0.1293619473775225,5.927760843120399,2.439296833003926
gpu_seed1102_ckpt150_model_current_optimizer_stale,model_current_optimizer_stale,1102,150,benign,,0.007223224629232945,True,,0.21751141548156738,0.07883278528849269,4.926160338187302,1.4487798017817148
gpu_seed1102_ckpt150_step_counter_mismatch,step_counter_mismatch,1102,150,benign,,0.0009086943110428704,False,0,0.08108067512512207,0.051787932713826645,1.6656552266177762,0.8914484575930146
gpu_seed1102_ckpt150_scheduler_mismatch,scheduler_mismatch,1102,150,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1102_ckpt150_optimizer_reset,optimizer_reset,1102,150,dangerous,16,0.1118397909369246,True,,15.818392912546793,5.327333132425943,149575236.9392174,3618.9419014939185
gpu_seed1102_ckpt300_exact_restore,exact_restore,1102,300,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1102_ckpt300_benign_nonzero,benign_nonzero,1102,300,benign,,3.3218740121227246e-06,False,0,5.7220458984375e-06,5.7220458984375e-06,7.09164940069229e-05,7.09164940069229e-05
gpu_seed1102_ckpt300_reset_m,reset_m,1102,300,benign,,0.001059935911574948,False,0,0.024382273356119644,0.01166534423828125,0.3001777540985273,0.14373469153931673
gpu_seed1102_ckpt300_reset_v,reset_v,1102,300,dangerous,1,24.901338289802116,True,,36897.09794727961,2113.776323954264,5.184705528587072e+21,5.184705528587072e+21
gpu_seed1102_ckpt300_stale_m,stale_m,1102,300,benign,,0.0014300999222451004,False,0,0.013368527094522964,0.010345379511515151,0.1699261879704963,0.12888118227997225
gpu_seed1102_ckpt300_stale_v,stale_v,1102,300,dangerous,1,1.1139714007231638,False,0,0.0005867481231689453,0.0005867481231689453,0.0072740084813851524,0.0072740084813851524
gpu_seed1102_ckpt300_stale_mv,stale_mv,1102,300,benign,,0.0014417565935481837,False,0,0.013389984766642105,0.01071476936340332,0.17020076469714418,0.13350768469053342
gpu_seed1102_ckpt300_model_current_optimizer_stale,model_current_optimizer_stale,1102,300,benign,,0.0025952467540996714,False,0,0.0506514708201089,0.03598364194234227,0.6175211830797807,0.438035668140893
gpu_seed1102_ckpt300_step_counter_mismatch,step_counter_mismatch,1102,300,benign,,7.820869590698494e-05,False,0,0.003410975138346206,0.003410975138346206,0.04234616889932141,0.04234616889932141
gpu_seed1102_ckpt300_scheduler_mismatch,scheduler_mismatch,1102,300,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1102_ckpt300_optimizer_reset,optimizer_reset,1102,300,dangerous,17,0.108816636894499,True,,15.716391722361248,4.0587843259175616,99724651.3842533,705.2393339586474
gpu_seed1103_ckpt75_exact_restore,exact_restore,1103,75,benign,,0.0,False,0,0.0,0.0,0.0,0.0
gpu_seed1103_ckpt75_benign_nonzero,benign_nonzero,1103,75,benign,,9.878676944968895e-05,False,0,9.473164876361295e-05,8.58306884765625e-06,0.4869985536452077,0.03237234021480617
gpu_seed1103_ckpt75_reset_m,reset_m,1103,75,benign,,0.046166881447928576,True,,2.2312493324279785,2.2312493324279785,5547.816557002359,3366.5832049309947
gpu_seed1103_ckpt75_reset_v,reset_v,1103,75,dangerous,1,10314.81347079328,True,,5297194489164.071,3403309471053.098,5.184705528587072e+21,5.184705528587072e+21
gpu_seed1103_ckpt75_stale_m,stale_m,1103,75,benign,,0.056775546058623165,True,,4.009777704874675,3.825021266937256,5047.819904000789,3689.3453943131135
