row_id,post_resume_index,parameter_divergence,validation_loss_gap,perplexity_gap
gpu_seed1101_ckpt75_stale_m,12,5.956679344177246,0.7839721043904628,504.02337098558326
gpu_seed1101_ckpt75_stale_m,13,6.299729347229004,0.2086170514424639,103.08724406749855
gpu_seed1101_ckpt75_stale_m,14,6.61862325668335,1.9083452224731445,2052.7585982208166
gpu_seed1101_ckpt75_stale_m,15,6.913992881774902,0.36870972315470407,130.408640763295
gpu_seed1101_ckpt75_stale_m,16,7.212521076202393,0.6513525644938154,285.2914717806156
gpu_seed1101_ckpt75_stale_m,17,7.503457069396973,0.13439607620239258,58.89686232096909
gpu_seed1101_ckpt75_stale_m,18,7.7880730628967285,0.17731618881225586,91.38598112470089
gpu_seed1101_ckpt75_stale_m,19,8.058917999267578,0.3586411476135254,163.7754970740899
gpu_seed1101_ckpt75_stale_m,20,8.316341400146484,0.5796295801798506,224.30447471492397
gpu_seed1101_ckpt75_stale_v,0,0.0,0.0,0.0
gpu_seed1101_ckpt75_stale_v,1,277.9488525390625,0.1418609619140625,294.38001338167896
gpu_seed1101_ckpt75_stale_v,2,528.091796875,0.4496307373046884,1281.2818788262898
gpu_seed1101_ckpt75_stale_v,3,753.211181640625,0.8037296930948905,6832.478071240996
gpu_seed1101_ckpt75_stale_v,4,955.8106689453125,0.8146969477335606,8254.143026765145
gpu_seed1101_ckpt75_stale_v,5,1138.14306640625,0.8440237045288086,10942.420898579256
gpu_seed1101_ckpt75_stale_v,6,1302.2362060546875,1.0059003829956055,9982.20446916638
gpu_seed1101_ckpt75_stale_v,7,1449.9144287109375,0.27829329172770123,1713.5799517119412
gpu_seed1101_ckpt75_stale_v,8,1582.81982421875,0.2226378122965489,1315.8478243383097
gpu_seed1101_ckpt75_stale_v,9,1617.5841064453125,0.007831414540609316,12.305250216778859
gpu_seed1101_ckpt75_stale_v,10,1650.3402099609375,0.3062235514322911,349.79812685490754
gpu_seed1101_ckpt75_stale_v,11,1680.901123046875,0.4893069267272949,325.46490567236333
gpu_seed1101_ckpt75_stale_v,12,1709.2640380859375,0.5048100153605146,367.6491323889601
gpu_seed1101_ckpt75_stale_v,13,1735.4515380859375,0.9758133888244629,341.14281201505537
gpu_seed1101_ckpt75_stale_v,14,1759.530517578125,0.3329167366027832,101.23435751443088
gpu_seed1101_ckpt75_stale_v,15,1781.5982666015625,0.7241497039794922,150.7056536958779
gpu_seed1101_ckpt75_stale_v,16,1801.764404296875,0.28359460830688477,76.72793884845035
gpu_seed1101_ckpt75_stale_v,17,1820.1539306640625,0.9256974856058751,247.200089126921
gpu_seed1101_ckpt75_stale_v,18,1836.893798828125,1.1022974650065107,375.64090392762216
gpu_seed1101_ckpt75_stale_v,19,1852.1082763671875,0.6976752281188965,190.6836653546871
gpu_seed1101_ckpt75_stale_v,20,1865.91845703125,0.38428703943888376,91.12502449497899
gpu_seed1101_ckpt75_stale_mv,0,0.0,0.0,0.0
gpu_seed1101_ckpt75_stale_mv,1,0.8026968240737915,0.5773681004842119,847.1709713778689
gpu_seed1101_ckpt75_stale_mv,2,1.5273514986038208,1.1092615127563477,1512.5274464241293
gpu_seed1101_ckpt75_stale_mv,3,2.2064926624298096,2.0648627281188956,4835.143678211544
gpu_seed1101_ckpt75_stale_mv,4,2.824936866760254,1.6852723757425947,5342.8068566769625
gpu_seed1101_ckpt75_stale_mv,5,3.381901979446411,2.149539152781168,7292.124899666591
gpu_seed1101_ckpt75_stale_mv,6,3.931488513946533,2.2233242988586426,5132.499840991434
gpu_seed1101_ckpt75_stale_mv,7,4.464219570159912,2.034991582234701,4642.472557789988
gpu_seed1101_ckpt75_stale_mv,8,4.9846038818359375,1.8385879198710127,4437.510094543419
gpu_seed1101_ckpt75_stale_mv,9,5.442526817321777,0.684189160664876,775.5199532119786
gpu_seed1101_ckpt75_stale_mv,10,5.8742852210998535,0.043799241383871035,59.37329124235475
gpu_seed1101_ckpt75_stale_mv,11,6.290717124938965,0.11931419372558594,106.58817482559914
gpu_seed1101_ckpt75_stale_mv,12,6.69632625579834,0.31562026341756244,251.04524929561808
gpu_seed1101_ckpt75_stale_mv,13,7.08253812789917,2.160862445831299,4203.892708310145
gpu_seed1101_ckpt75_stale_mv,14,7.440526485443115,4.260000864664713,24957.347037573727
gpu_seed1101_ckpt75_stale_mv,15,7.773414611816406,1.849592685699463,1566.8971095752875
gpu_seed1101_ckpt75_stale_mv,16,8.119637489318848,2.1678536732991542,2404.895514994842
gpu_seed1101_ckpt75_stale_mv,17,8.464580535888672,2.9549585978190107,7452.269612568107
gpu_seed1101_ckpt75_stale_mv,18,8.794593811035156,0.9980406761169434,963.4154438278081
gpu_seed1101_ckpt75_stale_mv,19,9.115321159362793,1.5266593297322588,1367.8011247884144
gpu_seed1101_ckpt75_stale_mv,20,9.426410675048828,1.6708792050679522,1232.8940647362383
gpu_seed1101_ckpt75_model_current_optimizer_stale,0,0.0,0.0,0.0
gpu_seed1101_ckpt75_model_current_optimizer_stale,1,0.7009298801422119,0.5626301765441895,831.0730663756633
gpu_seed1101_ckpt75_model_current_optimizer_stale,2,1.3326488733291626,1.1749340693155919,1559.8377362917363
gpu_seed1101_ckpt75_model_current_optimizer_stale,3,1.9291325807571411,2.2297773361206046,4941.925009373202
gpu_seed1101_ckpt75_model_current_optimizer_stale,4,2.478925943374634,1.9333367347717285,5609.940247963122
gpu_seed1101_ckpt75_model_current_optimizer_stale,5,2.9677512645721436,2.3732798894246416,7484.9657445903285
gpu_seed1101_ckpt75_model_current_optimizer_stale,6,3.441236734390259,2.533347447713216,5298.580479928779
gpu_seed1101_ckpt75_model_current_optimizer_stale,7,3.901373863220215,2.479980309804281,4893.131435536782
gpu_seed1101_ckpt75_model_current_optimizer_stale,8,4.353870391845703,2.5359261830647783,4858.875573586845
gpu_seed1101_ckpt75_model_current_optimizer_stale,9,4.760690689086914,1.3883878389994297,1174.6607540744421
gpu_seed1101_ckpt75_model_current_optimizer_stale,10,5.141780376434326,1.1249014536539708,895.5414245217596
gpu_seed1101_ckpt75_model_current_optimizer_stale,11,5.510121822357178,0.4385693868001299,298.6274835186192
gpu_seed1101_ckpt75_model_current_optimizer_stale,12,5.872687816619873,0.8022410074869795,511.68990009963534
gpu_seed1101_ckpt75_model_current_optimizer_stale,13,6.2204484939575195,0.9100281397501631,327.11241252343484
gpu_seed1101_ckpt75_model_current_optimizer_stale,14,6.548388957977295,0.7414054870605469,392.85484473651655
gpu_seed1101_ckpt75_model_current_optimizer_stale,15,6.856720447540283,0.35914007822672467,88.24890215687671
gpu_seed1101_ckpt75_model_current_optimizer_stale,16,7.163020133972168,0.0035769144694004495,1.1094686567985832
gpu_seed1101_ckpt75_model_current_optimizer_stale,17,7.4546122550964355,0.5213077863057451,166.33946563438568
gpu_seed1101_ckpt75_model_current_optimizer_stale,18,7.735769271850586,0.9639534950256348,347.9273684588577
gpu_seed1101_ckpt75_model_current_optimizer_stale,19,8.006053924560547,0.2600719134012861,86.94180457047639
gpu_seed1101_ckpt75_model_current_optimizer_stale,20,8.26423454284668,0.729945182800293,307.01164723129483
gpu_seed1101_ckpt75_step_counter_mismatch,0,0.0,0.0,0.0
gpu_seed1101_ckpt75_step_counter_mismatch,1,0.07658275961875916,0.055511156717936494,104.29381210252359
gpu_seed1101_ckpt75_step_counter_mismatch,2,0.15525653958320618,0.4217395782470703,776.5671057170255
gpu_seed1101_ckpt75_step_counter_mismatch,3,0.23807398974895477,0.9083595275878897,3304.8600498862593
gpu_seed1101_ckpt75_step_counter_mismatch,4,0.3256925046443939,0.986653645833333,4113.509536690238
gpu_seed1101_ckpt75_step_counter_mismatch,5,0.4170491397380829,1.1190050443013506,5558.227304163622
gpu_seed1101_ckpt75_step_counter_mismatch,6,0.5095884203910828,1.1333069801330566,3902.439341698782
gpu_seed1101_ckpt75_step_counter_mismatch,7,0.603150486946106,1.3076995213826503,3896.1044787945266
gpu_seed1101_ckpt75_step_counter_mismatch,8,0.712102472782135,1.3425413767496748,3898.5489021042513
gpu_seed1101_ckpt75_step_counter_mismatch,9,0.8359691500663757,0.7657143274943028,837.3383835315132
gpu_seed1101_ckpt75_step_counter_mismatch,10,0.9665138125419617,1.1811245282491045,919.0812668069029
gpu_seed1101_ckpt75_step_counter_mismatch,11,1.1138032674789429,0.8169546127319336,469.5262585568624
gpu_seed1101_ckpt75_step_counter_mismatch,12,1.2910078763961792,1.4692797660827637,714.1038805572176
gpu_seed1101_ckpt75_step_counter_mismatch,13,1.469665288925171,0.6241623560587568,254.18963780567753
gpu_seed1101_ckpt75_step_counter_mismatch,14,1.6632698774337769,0.621823787689209,165.53698431359572
gpu_seed1101_ckpt75_step_counter_mismatch,15,1.871126413345337,0.6302404403686523,136.74627324265327
gpu_seed1101_ckpt75_step_counter_mismatch,16,2.0771055221557617,0.4252885182698565,107.64266365171406
gpu_seed1101_ckpt75_step_counter_mismatch,17,2.2755067348480225,0.7667393684387207,219.24718805474686
gpu_seed1101_ckpt75_step_counter_mismatch,18,2.4733572006225586,0.007439931233723662,4.200022336419124
gpu_seed1101_ckpt75_step_counter_mismatch,19,2.6716816425323486,0.20451132456461618,70.2183661207664
gpu_seed1101_ckpt75_step_counter_mismatch,20,2.869584798812866,0.13348627090454102,35.68885307232617
gpu_seed1101_ckpt75_scheduler_mismatch,0,0.0,0.0,0.0
