row_id,rewrite_family,clean_cumulative_update_distance_proxy,alt_divergence_ratio,max_validation_loss_gap,task_damaged
gpu_seed1103_ckpt300_benign_nonzero,benign_nonzero,0.001000699819996953,1.0000093057134125,1.5099843344579256e-06,False
gpu_seed1103_ckpt300_reset_m,reset_m,0.1599242240190506,0.999999999993747,0.027867237726847183,False
gpu_seed1103_ckpt300_reset_v,reset_v,4198.6552734375,0.9999999999999998,7959.604056358337,True
gpu_seed1103_ckpt300_stale_m,stale_m,0.24052412807941437,0.9999999999958424,0.032987991968790986,False
gpu_seed1103_ckpt300_stale_v,stale_v,0.00876194890588522,0.9999999998858701,0.0005084673563637843,False
gpu_seed1103_ckpt300_stale_mv,stale_mv,0.24075204133987427,0.9999999999958463,0.03308892250061035,False
gpu_seed1103_ckpt300_model_current_optimizer_stale,model_current_optimizer_stale,0.46887537837028503,0.9999999999978673,0.04003874460856105,False
gpu_seed1103_ckpt300_step_counter_mismatch,step_counter_mismatch,0.013566483743488789,0.9999999999262889,0.0029689470926919093,False
gpu_seed1103_ckpt300_scheduler_mismatch,scheduler_mismatch,0.0,0.0,0.0,False
gpu_seed1103_ckpt300_optimizer_reset,optimizer_reset,19.32038688659668,0.9999999999999484,19.782187461853027,True
