row_id,source_seed,checkpoint_age,future_schedule_seed,T_tau,censored,task_recovery_step,task_nonrecovered_h20,task_nonrecovered_h100,max_validation_loss_gap,final_validation_loss_gap,max_function_kl,final_function_kl
gpu_seed1103_ckpt75_optimizer_reset,1103,75,8104,15,False,,True,True,13.75721518198649,0.383375883102417,25.604307174682617,1.4686625003814697
gpu_seed1103_ckpt75_optimizer_reset,1103,75,8105,15,False,,True,True,19.823387781778973,0.22141265869140625,25.011951446533203,0.8433914184570312
gpu_seed1103_ckpt150_optimizer_reset,1103,150,8101,16,False,,True,True,14.644849856694538,0.49509922663370753,18.665164947509766,0.8567122220993042
gpu_seed1103_ckpt150_optimizer_reset,1103,150,8102,15,False,,True,True,21.499186277389526,0.39500697453816747,24.098451614379883,1.2643704414367676
gpu_seed1103_ckpt150_optimizer_reset,1103,150,8103,16,False,,True,True,15.72532304128011,0.9244504769643149,23.093090057373047,1.29073965549469
gpu_seed1103_ckpt150_optimizer_reset,1103,150,8104,16,False,,True,True,17.4929613272349,0.4333461920420332,22.370149612426758,0.7864342331886292
gpu_seed1103_ckpt150_optimizer_reset,1103,150,8105,16,False,,True,True,15.433522860209147,0.4171101252237954,21.122011184692383,0.7442049980163574
gpu_seed1103_ckpt300_optimizer_reset,1103,300,8101,17,False,,True,True,13.56846499443054,0.9005253314971924,15.181357383728027,1.368740439414978
gpu_seed1103_ckpt300_optimizer_reset,1103,300,8102,16,False,,True,True,29.121975262959797,1.5165590445200605,30.003110885620117,1.7638665437698364
gpu_seed1103_ckpt300_optimizer_reset,1103,300,8103,16,False,,True,True,17.976712226867676,1.6089983781178794,19.57036590576172,2.0301084518432617
gpu_seed1103_ckpt300_optimizer_reset,1103,300,8104,17,False,,True,True,15.152216593424479,2.1949934164683027,17.371416091918945,2.9269137382507324
gpu_seed1103_ckpt300_optimizer_reset,1103,300,8105,16,False,,True,True,20.87636907895406,1.1155354976654053,22.342519760131836,1.6347979307174683
