seed,checkpoint_age,cohort,rewrite_family,T_tau,crossed_H20,crossed_H100,first_step_S1,candidate_update_norm,clean_update_norm,update_cosine,heldout_task_gap_H100,max_heldout_task_gap_H100
1101,300,primary,model_current_optimizer_stale,,False,False,2.150008948875876,0.04506395012140274,0.022198202088475227,0.12281681597232819,0.017477750778198242,0.09725308418273926
1101,300,primary,optimizer_reset,,False,False,18.914029194196033,0.4247950315475464,0.022198202088475227,0.2472691684961319,0.05418030420939157,0.5091511408487959
1102,75,primary,exact_restore,,False,False,0.0,0.41614481806755066,0.41614481806755066,0.9999997615814209,0.0,0.0
1102,75,primary,benign_nonzero,,False,False,0.0006810051028636689,0.41614487767219543,0.41614481806755066,0.9999996423721313,0.0014382203420004736,0.009706258773803711
1102,75,primary,reset_m,,False,False,0.9421988880561264,0.1557731032371521,0.41614481806755066,0.3371139168739319,0.015611251195271958,1.168426275253296
1102,75,primary,reset_v,1.0,True,True,115851.9472229936,48211.23046875,0.41614481806755066,0.09721987694501877,256941938002.2284,479559243090.32513
1102,75,primary,stale_m,,False,False,1.6860078735216677,0.6335816383361816,0.41614481806755066,0.15612171590328217,0.013734579086303711,3.5879909992218018
1102,75,primary,stale_v,1.0,True,True,5229.360771134903,2176.189697265625,0.41614481806755066,0.04450242221355438,0.04036521911621094,30.51597738265991
1102,75,primary,stale_mv,,False,False,1.9118029336861855,0.752602756023407,0.41614481806755066,0.17022942006587982,0.07341400782267238,2.6194949150085445
1102,75,primary,model_current_optimizer_stale,,False,False,1.6527672175058468,0.623015284538269,0.41614481806755066,0.17022910714149475,0.06289132436116551,1.7183665434519453
1102,75,primary,optimizer_reset,15.0,True,True,8.888005824878025,3.742893695831299,0.41614481806755066,0.16116778552532196,0.1688315073649087,19.493225892384846
1102,150,primary,exact_restore,,False,False,0.0,0.10610155761241913,0.10610155761241913,0.9999997615814209,0.0,0.0
1102,150,primary,benign_nonzero,,False,False,0.0,0.10610155761241913,0.10610155761241913,0.9999997615814209,0.0009206930796303858,0.0025552908579506983
1102,150,primary,reset_m,,False,False,0.9042976087483438,0.04117155075073242,0.10610155761241913,0.4288487434387207,0.0039919217427573095,0.12134250005086233
1102,150,primary,reset_v,1.0,True,True,46109.815465788655,4892.3330078125,0.10610155761241913,0.09226305782794952,32078.54820092519,2025280.0290737152
1102,150,primary,stale_m,,False,False,1.4764977307874274,0.12979398667812347,0.10610155761241913,0.1293288916349411,0.0024449825286865234,0.3624611695607505
1102,150,primary,stale_v,1.0,True,True,8465.209137385973,898.179443359375,0.10610155761241913,0.07132603973150253,0.20277269681294774,237.01972007751465
1102,150,primary,stale_mv,,False,False,1.5034930140279665,0.1334579885005951,0.10610155761241913,0.12785929441452026,0.0009304682413735499,0.36620569229125977
1102,150,primary,model_current_optimizer_stale,,False,False,1.4285686598356584,0.122658371925354,0.10610155761241913,0.12786492705345154,0.0015034675598144531,0.31473580996195505
1102,150,primary,optimizer_reset,,False,False,16.172859920455462,1.7385023832321167,0.10610155761241913,0.24154631793498993,0.14317091306050633,7.359323263168335
1102,300,primary,exact_restore,,False,False,0.0,0.02620740421116352,0.02620740421116352,1.0000001192092896,0.0,0.0
1102,300,primary,benign_nonzero,,False,False,0.0,0.02620740421116352,0.02620740421116352,1.0000001192092896,4.776318867971696e-05,0.0003658135732016454
1102,300,primary,reset_m,,False,False,0.8800081847608275,0.011398963630199432,0.02620740421116352,0.47679832577705383,0.002634763717651367,0.016581296920776367
1102,300,primary,reset_v,1.0,True,True,36770.570104779654,963.66357421875,0.02620740421116352,0.09142889827489853,383.46717802683514,27775.099475860596
1102,300,primary,stale_m,,False,False,1.2090844678708,0.02562926709651947,0.02620740421116352,0.2528177797794342,0.00274380048116063,0.0357509454091387
1102,300,primary,stale_v,1.0,True,True,820.5706905155859,21.506031036376953,0.02620740421116352,0.03883976861834526,0.0006838639577226857,0.003397703170776367
1102,300,primary,stale_mv,,False,False,1.212035997413026,0.025768311694264412,0.02620740421116352,0.2531108558177948,0.0016627311706542969,0.03557101885477687
1102,300,primary,model_current_optimizer_stale,,False,False,1.9051112533586336,0.049644846469163895,0.02620740421116352,0.2531129717826843,0.054217656453450225,0.13667678833007812
1102,300,primary,optimizer_reset,,False,False,16.02377939998956,0.42662546038627625,0.02620740421116352,0.2837500274181366,0.07940196990966797,0.6323777039845786
1103,75,primary,exact_restore,,False,False,0.0,0.6612775921821594,0.6612775921821594,0.9999998807907104,0.0,0.0
1103,75,primary,benign_nonzero,,False,False,0.0,0.6612775921821594,0.6612775921821594,0.9999998807907104,0.010364611943562974,0.01127314567565918
1103,75,primary,reset_m,,False,False,0.9456358015657935,0.236459419131279,0.6612775921821594,0.3266909718513489,0.1580596764882407,2.1362355550130205
1103,75,primary,reset_v,1.0,True,True,393600.5420820434,260279.359375,0.6612775921821594,0.1867668628692627,2698880221180.9707,4852991830689.053
1103,75,primary,stale_m,,False,False,1.3382099090178177,0.7016927599906921,0.6612775921821594,0.15792934596538544,0.1541295051574707,3.564676284790039
1103,75,primary,stale_v,1.0,True,True,790.8304186326425,522.9633178710938,0.6612775921821594,0.008008633740246296,0.39592687288920114,39.770361264546715
1103,75,primary,stale_mv,,False,False,1.5594994482326383,0.9076979756355286,0.6612775921821594,0.16468596458435059,0.0073259671529135595,2.280435562133789
1103,75,primary,model_current_optimizer_stale,,False,False,1.3845296864693748,0.751408576965332,0.6612775921821594,0.16467995941638947,0.04361470540364598,2.728016058603923
1103,75,primary,optimizer_reset,14.0,True,True,5.449072716607183,3.6471848487854004,0.6612775921821594,0.15654607117176056,0.34619728724161813,18.451650937398274
1103,150,primary,exact_restore,,False,False,0.0,0.11947642266750336,0.11947642266750336,0.9999997615814209,0.0,0.0
1103,150,primary,benign_nonzero,,False,False,0.0,0.11947642266750336,0.11947642266750336,0.9999997615814209,4.967053731252946e-05,0.002306381861369111
1103,150,primary,reset_m,,False,False,0.9116424357491432,0.05908554792404175,0.11947642266750336,0.41804239153862,0.02169171969095851,0.2410140037536621
1103,150,primary,reset_v,1.0,True,True,97805.09877446332,11685.41015625,0.11947642266750336,0.06863454729318619,3567973.774762233,184793735.05642572
1103,150,primary,stale_m,,False,False,1.612799667531491,0.17406614124774933,0.11947642266750336,0.1789604127407074,0.003962516784667969,0.2899332046508789
1103,150,primary,stale_v,1.0,True,True,834.6743670706887,99.72650909423828,0.11947642266750336,0.022485146299004555,0.0071332454681396484,0.015182574590047349
1103,150,primary,stale_mv,,False,False,1.6776113077466803,0.1835712343454361,0.11947642266750336,0.17779210209846497,0.009467363357543945,0.3042952219645181
1103,150,primary,model_current_optimizer_stale,,False,False,1.5785935691225503,0.168715700507164,0.11947642266750336,0.1777961105108261,0.006893952687581084,0.21427957216898585
1103,150,primary,optimizer_reset,,False,False,14.7990631492413,1.7921509742736816,0.11947642266750336,0.23296219110488892,0.048681577046711944,6.397930065790812
1103,300,primary,exact_restore,,False,False,0.0,0.024280330166220665,0.024280330166220665,1.0000003576278687,0.0,0.0
1103,300,primary,benign_nonzero,,False,False,0.0013247008753710036,0.024280333891510963,0.024280330166220665,0.9999995827674866,3.751118977879386e-05,0.0003941059112548828
1103,300,primary,reset_m,,False,False,0.9290769145764965,0.01410689763724804,0.024280330166220665,0.4082423746585846,0.002475579579671372,0.04311370849609375
1103,300,primary,reset_v,1.0,True,True,34875.60226172343,846.79296875,0.024280330166220665,0.07782576233148575,185.72927459081015,7589.573572953542
1103,300,primary,stale_m,,False,False,1.3746623713330524,0.028857357800006866,0.024280330166220665,0.2199624627828598,3.0279159545898438e-05,0.04732394218444824
1103,300,primary,stale_v,,False,False,0.04018475205395844,0.024388223886489868,0.024280330166220665,0.9992060661315918,0.0005870660146078954,0.0008614063262939453
1103,300,primary,stale_mv,,False,False,1.3763348934636763,0.02891249768435955,0.024280330166220665,0.219879612326622,0.0004467964172363281,0.04732354482014989
1103,300,primary,model_current_optimizer_stale,,False,False,2.2921999418636605,0.05570237338542938,0.024280330166220665,0.21988189220428467,0.004695336023966323,0.1552817026774087
1103,300,primary,optimizer_reset,,False,False,18.59841172459456,0.45641252398490906,0.024280330166220665,0.22475580871105194,0.040474573771158706,0.7319042682647705
1201,75,width448,exact_restore,,False,False,0.0,0.39896833896636963,0.39896833896636963,0.9999998807907104,0.0,0.0
1201,75,width448,benign_nonzero,,False,False,0.0,0.39896833896636963,0.39896833896636963,0.9999998807907104,0.010991891225179184,0.011003812154134263
1201,75,width448,reset_m,,False,False,0.8655672646207273,0.18402139842510223,0.39896833896636963,0.5024881958961487,0.07133038838704442,1.0769535700480146
