cohort,seed,checkpoint_age,rewrite_family,kappa_t,eps_c,tolerance,first_step_S1,representable,empty_state,coordinate_count,fraction_R_gt_1_plus_tol,max_R,q95_R,q99_R,q999_R,v_zero_m_nonzero
primary,1103,75,reset_m,52.85713505761189,1e-30,1e-05,0.9456358015657935,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1103,75,reset_v,52.85713505761189,1e-30,1e-05,393600.5420820434,True,False,19484864,0.9989883429517393,5.738821489479341e+29,2.4644333573641897e+25,9.272364744440141e+25,4.098019089755516e+26,19465152
primary,1103,75,stale_m,52.85713505761189,1e-30,1e-05,1.3382099090178177,True,False,19484864,0.0,0.6256013512611389,0.03613319993019104,0.09952197968959808,0.2034337818622589,0
primary,1103,75,stale_v,52.85713505761189,1e-30,1e-05,790.8304186326425,True,False,19484864,0.0059718148404833615,3.9799909585660715e+23,0.09989947825670242,0.6224221587181091,4.533201694488525,896
primary,1103,75,stale_mv,52.85713505761189,1e-30,1e-05,1.5594994482326383,True,False,19484864,0.0,0.6442022919654846,0.06235746666789055,0.15672209858894348,0.2899303436279297,0
primary,1103,75,optimizer_reset,52.85713505761189,1e-30,1e-05,5.449072716607183,True,True,0,0.0,0.0,0.0,0.0,0.0,0
primary,1103,75,reset_mv_preserve_counter,52.85713505761189,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1103,150,exact_restore,52.857142857141646,1e-30,1e-05,0.0,True,False,19484864,0.0,0.45138120651245117,0.0018399580148980021,0.007140980567783117,0.024377210065722466,0
primary,1103,150,reset_m,52.857142857141646,1e-30,1e-05,0.9116424357491432,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1103,150,reset_v,52.857142857141646,1e-30,1e-05,97805.09877446332,True,False,19484864,0.9991033039799508,1.4581320644062226e+28,1.282495326090661e+24,6.014607598553936e+24,3.058565629321625e+25,19467392
primary,1103,150,stale_m,52.857142857141646,1e-30,1e-05,1.612799667531491,True,False,19484864,0.0,0.5859417915344238,0.004055933095514774,0.015427653677761555,0.04412154480814934,0
primary,1103,150,stale_v,52.857142857141646,1e-30,1e-05,834.6743670706887,True,False,19484864,3.341054882394868e-05,1.1781282417932322e+23,0.0019454483408480883,0.008380196057260036,0.03531123697757721,448
primary,1103,150,stale_mv,52.857142857141646,1e-30,1e-05,1.6776113077466803,True,False,19484864,0.0,0.6768060326576233,0.004294087644666433,0.017581965774297714,0.054493118077516556,0
primary,1103,150,optimizer_reset,52.857142857141646,1e-30,1e-05,14.7990631492413,True,True,0,0.0,0.0,0.0,0.0,0.0,0
primary,1103,150,reset_mv_preserve_counter,52.857142857141646,1e-30,1e-05,,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1103,300,exact_restore,52.8571428571428,1e-30,1e-05,0.0,True,False,19484864,0.0,0.10915159434080124,0.0007163630216382444,0.00261893798597157,0.00823938101530075,0
primary,1103,300,reset_m,52.8571428571428,1e-30,1e-05,0.9290769145764965,True,False,19484864,0.0,0.0,0.0,0.0,0.0,0
primary,1103,300,reset_v,52.8571428571428,1e-30,1e-05,34875.60226172343,True,False,19484864,0.9876069445493691,1.145898165055199e+28,4.8377335732281294e+23,2.4316071457007226e+24,1.3369857686937815e+25,19468736
primary,1103,300,stale_m,52.8571428571428,1e-30,1e-05,1.3746623713330524,True,False,19484864,0.0,0.15833452343940735,0.0008243147167377174,0.0033569950610399246,0.0126547422260046,0
